# according P.Joos et al, Nucl. Phys. B113 (1976) 53:
#
# Q2=0 data according ref[12]
0.50248	0.07329 1.35 0.05 26
0.65174	0.07862 1.45 0.05 72.1
0.81165	0.08396 1.55 0.05 73.0
0.98223	0.08929 1.65 0.05 71.2
1.16346	0.09462 1.75 0.05 61.0
1.45531	0.20789 1.90 0.10 53
1.88175	0.22921 2.10 0.10 42
2.47476	0.38779 2.35 0.15 32.6
3.27434	0.43577 2.65 0.15 25.5
4.01394	0.31450 2.90 0.1 23.5












