   1.110   5.045   0.798   0.043
   1.125   5.126   1.052   0.024   
   1.140   5.390   1.213   0.000
   1.155   5.621   1.334  -0.013
   1.170   5.913   1.397  -0.023
   1.185   5.955   1.727  -0.069
   1.200   6.139   1.750  -0.060
   1.215   6.178   1.878  -0.080
   1.230   6.125   1.887  -0.065
   1.245   5.999   1.927  -0.056
   1.260   5.769   2.041  -0.065
   1.275   5.622   2.089  -0.056
   1.290   5.431   2.148  -0.043
   1.305   5.288   2.205  -0.034
   1.320   5.175   2.344  -0.054
   1.335   5.131   2.324  -0.018
   1.350   5.003   2.535  -0.046
   1.365   5.065   2.464  -0.015
   1.380   5.045   2.564  -0.029
   1.395   5.078   2.610  -0.048
   1.410   5.145   2.609  -0.032
   1.425   5.156   2.678  -0.046
   1.440   5.234   2.771  -0.084
   1.455   5.298   2.890  -0.115
   1.470   5.371   2.982  -0.105
   1.485   5.457   3.157  -0.159
   1.500   5.543   3.188  -0.164
   1.515   5.519   3.315  -0.181
   1.530   5.465   3.375  -0.203
   1.545   5.384   3.450  -0.220
   1.560   5.341   3.477  -0.245
   1.575   5.328   3.471  -0.264
   1.590   5.275   3.554  -0.239
   1.605   5.296   3.633  -0.302
   1.620   5.330   3.695  -0.299
   1.635   5.375   3.804  -0.318
   1.650   5.428   3.900  -0.388
   1.665   5.478   4.047  -0.393
   1.680   5.443   4.290  -0.466
   1.695   5.390   4.519  -0.588
   1.710   5.333   4.709  -0.622
   1.725   5.296   4.757  -0.568
   1.740   5.223   4.840  -0.574
   1.755   5.159   5.017  -0.727
   1.770   5.146   5.015  -0.665
   1.790   5.143   5.129  -0.704
   1.810   5.125   5.285  -0.856
   1.830   5.158   5.322  -0.798
   1.850   5.159   5.546  -1.048
   1.870   5.178   5.623  -0.980
   1.890   5.182   5.775  -1.021
   1.910   5.195   5.894  -1.092
   1.930   5.160   6.138  -1.313
   1.950   5.195   6.151  -1.341
   1.970   5.163   6.301  -1.266
   1.990   5.172   6.542  -1.473
