 16677.8  9928.3  73.8 12807.8 1060.6  838.0
  9586.8  5790.4  42.8  7415.9  610.8  486.4
  3435.7  2468.2  24.6  2895.1  272.3  238.1
  2482.6  1864.3  20.9  2135.3  209.8  189.3
    90.1    90.9   3.5    79.5    7.6   13.7
  1077.1   910.2  11.5   982.8  101.6   97.3
    85.7    93.6   3.5    82.1    8.9   13.9
    84.6    95.1   4.0    82.5    9.6   15.1
    81.6    97.5   2.5    84.3   10.4   13.7
    77.9    82.8   1.5    75.8    7.7    9.5
   584.1   723.0  15.8   645.1   89.9  103.3
    79.8   121.0   4.9    92.4   13.6   20.8
    85.8   127.6   5.4    96.8   14.2   22.4
    82.2   134.1   7.0    98.4   15.8   25.7
    71.9   105.8   2.7    81.7   10.4   15.1
    57.5    76.1   1.0    62.3    5.6    7.5
   407.6   695.2  25.1   526.1   93.7  127.3
    69.0   148.3  10.3    91.7   17.5   34.
    86.1   172.3   9.8   111.5   20.0   36.3
    75.9   158.3  13.6   101.1   20.3   38.8
    38.2    67.4   2.2    46.2    6.0   10.2
    44.7   121.3  13.5    66.1   15.6   34.9
    42.3   114.9  11.5    62.3   14.1   31.5
    24.5    77.7   8.1    38.5    9.0   21.8
    30.2    97.0  10.4    47.7   11.5   27.9
    29.6   102.4  13.0    49.2   12.9   31.8
    29.4   111.7  19.7    50.7   14.7   39.8
    20.4    71.3   7.1    33.1    7.6   19.6
    23.2   103.4  22.2    43.3   14.3   41.2
    24.4   118.3  26.0    46.5   15.5   48.1
    19.1    90.7  18.3    35.5   11.3   35.5
    21.8   117.0  29.0    43.7   15.9   51.2
    21.5   109.6  23.3    42.3   14.1   43.5
    17.9   110.9  34.2    37.7   14.7   53.2
    18.6   106.6  27.1    38.4   14.2   47.2
    12.7    50.5   2.6    21.3    3.5    9.7
    18.4   136.6  36.3    43.4   17.3   62.8
    16.3   127.4  49.4    38.4   16.8   67.9
    13.1    63.5   5.9    24.2    5.2   16.2
    12.7    78.7  10.9    26.5    7.2   24.8
    20.5   161.0  52.2    50.5   22.5   81.9
    19.9   150.7  46.5    47.9   21.0   75.7
    16.0   122.9  31.1    38.0   14.4   53.9
     9.0    74.0  27.9    22.6   10.8   40.7
     9.8    82.0  41.7    24.9   13.3   51.4
     9.3    72.7  33.8    23.2   12.2   44.2
     8.4    74.5  38.3    21.8   11.8   47.3
    13.4    109.5 53.0    34.8   19.4   68.8
     9.7     86.7 45.9    25.1   14.0   56.8
    14.3    146.4 85.6    40.9   25.2  101.5
     9.4     60.4 12.5    20.0    6.8   24.4
    13.5    160.0 103.7   40.2   25.0  114.4
    19.2    156.6 60.2    49.0   25.0   89.8
    14.1    184.0 132.1   43.7   29.3  141.6
    14.1    154.2  19.7   40.9   12.4   50.3
    16.8   1167.1 39509.2 104.7 421.2  6320.8
       
