  1.110 -3.024 6.613 -0.35
  1.125  3.796 1.935 -0.005
  1.140  6.003 0.774  0.036
  1.155  6.339 0.653  0.054
  1.170  6.071 1.017  0.053
  1.185  6.834 0.709  0.083
  1.200  6.166 1.699 -0.054
  1.215  6.239 1.768 -0.059
  1.230  6.149 1.929 -0.087
  1.245  5.988 1.943 -0.06
  1.260  5.155 2.703 -0.158
  1.275  5.727 1.892 -0.017
  1.290  5.454 1.932  0.064
  1.305  5.262 2.244 -0.05
  1.320  5.230 2.040  0.071
  1.335  5.153 1.980  0.169
  1.350  4.365 3.206 -0.155
  1.365  5.168 2.109  0.159
  1.380  5.162 2.587 -0.106
  1.395  5.174 2.479 -0.046
  1.410  5.335 2.493 -0.071
  1.425  5.378 2.437  0.005
  1.440  5.396 2.581 -0.089
  1.455  5.436 2.324  0.171
  1.470  5.564 2.699 -0.098
  1.485  5.615 2.971 -0.182
  1.500  5.574 3.207 -0.216
  1.515  5.560 3.325 -0.199
  1.530  5.470 3.375 -0.192
  1.545  5.394 3.466 -0.195
  1.560  5.317 3.563 -0.256
  1.575  5.346 3.366 -0.152
  1.590  5.311 3.477 -0.274
  1.605  5.314 3.279 -0.017
  1.620  5.323 3.691 -0.373
  1.635  5.271 3.965 -0.509
  1.650  5.315 4.148 -0.537
  1.665  5.373 4.106 -0.425
  1.680  5.433 4.035 -0.286
  1.695  5.235 4.687 -0.652
  1.710  5.249 4.738 -0.631
  1.725  5.180 4.782 -0.555
  1.740  5.071 5.218 -0.941
  1.755  5.072 5.050 -0.719
  1.770  5.071 5.062 -0.645
  1.790  5.036 4.979 -0.474
  1.810  4.985 5.532 -0.960
  1.830  4.976 5.659 -1.124
  1.850  5.021 5.677 -1.088
  1.870  5.000 6.081 -1.359
  1.890  5.007 6.110 -1.350
  1.910  4.980 6.366 -1.574
  1.930  5.025 6.433 -1.921
  1.950  5.031 6.079 -0.926
  1.970  5.018 6.650 -1.845
  1.990  5.108 6.644 -2.098

