  1.110 -0.050  4.849 -0.285
  1.125  1.082  4.120 -0.212
  1.140  4.119  2.244 -0.100
  1.155  3.898  2.824 -0.155
  1.170  5.990  1.257 -0.006
  1.185  6.033  1.548 -0.025
  1.200  6.160  1.730 -0.066
  1.215  6.219  1.805 -0.086
  1.230  6.117  1.866 -0.071
  1.245  5.959  1.914 -0.054
  1.260  5.451  2.272 -0.084
  1.275  5.675  1.840  0.012
  1.290  5.417  2.102 -0.037
  1.305  5.238  2.221 -0.046
  1.320  5.084  2.368 -0.058
  1.335  4.913  2.622 -0.085
  1.350  4.458  3.146 -0.131
  1.365  5.012  2.537 -0.031
  1.380  5.128  2.473 -0.031
  1.395  5.140  2.533 -0.033
  1.410  5.261  2.610 -0.093
  1.425  5.370  2.461 -0.0
  1.440  5.416  2.570 -0.052
  1.455  5.466  2.7   -0.083
  1.470  5.508  2.799 -0.093
  1.485  5.578  2.929 -0.104
  1.500  5.629  3.016 -0.096
  1.515  5.623  3.128 -0.163
  1.530  5.555  3.215 -0.173
  1.545  5.503  3.271 -0.192
  1.560  5.471  3.288 -0.191
  1.575  5.419  3.328 -0.202
  1.590  5.390  3.390 -0.239
  1.605  5.423  3.376 -0.168
  1.620  5.396  3.567 -0.286
  1.635  5.451  3.600 -0.239
  1.650  5.400  3.945 -0.408
  1.665  5.446  4.046 -0.402
  1.680  5.448  4.124 -0.355
  1.695  5.421  4.270 -0.4
  1.710  5.308  4.667 -0.603
  1.725  5.248  4.818 -0.642
  1.740  5.193  4.856 -0.637
  1.755  5.099  5.069 -0.773
  1.770  5.076  5.112 -0.768
  1.790  5.054  5.236 -0.879
  1.810  5.064  5.331 -0.941
  1.830  5.028  5.609 -1.075
  1.850  5.080  5.628 -1.118
  1.870  5.076  5.819 -1.223
  1.890  5.173  5.461 -0.812
  1.910  5.011  6.391 -1.581
  1.930  5.136  5.995 -1.219
  1.950  5.055  6.455 -1.605
  1.970  5.035  6.565 -1.055
  1.990  5.059  7.063 -4.060
  
