0.1	0	
0.3	0.08989	
0.5	0.44944	
0.7	0.89888	
0.9	1.52809	
1.1	2.1573	
1.3	3.86517	
1.5	7.64045	
1.7	18.0674	
1.9	36.2247	
2.1	41.5281	
2.3	28.6742	
2.5	14.2921	
2.7	7.37079	
2.9	4.40449	
3.1	2.8764	
3.3	2.06742	
3.5	1.61798	
3.7	1.4382	
3.8	1.34831	
4.1	1.25843	
4.3	1.16854	
4.5	1.16854	
4.7	1.16854	
4.9	1.16854	
5.1	1.16854	
5.3	1.16854	
5.5	1.16854	
5.7	1.16854	
5.9	1.16854	
6.1	1.16854	
6.3	1.16854	
6.5	1.16854	
6.7	1.16854	
6.9	1.16854	
7.1	1.16854	
7.3	1.16854	
7.5	1.16854	
7.7	1.16854	
7.9	1.16854	
8.1	1.16854	
8.3	1.16854	
8.5	1.16854	
8.7	1.16854	
8.9	1.16854	
9.1	1.16854	
9.3	1.16854	
9.5	1.16854	
9.7	1.16854	
9.9	1.16854	
10.0	0	
