0.39800000    0.90835    0.19951    0.05891
0.40800000    1.55133    0.19137    0.09781
0.4180000    2.44347    0.23146    0.15000
0.4280000    3.43109    0.22722    0.20538
0.4380000    4.78525    0.28442    0.27974
0.4480000    6.13347    0.28197    0.35073
0.4580000    8.05971    0.29169    0.45151
0.4680000   10.29342    0.34997    0.56580
0.4780000   13.25982    0.36816    0.71623
0.4880000   16.66570    0.42280    0.88591
0.4980000   21.24722    0.45655    1.11310
0.5080000   25.11592    0.49597    1.05190
0.5180000   29.92489    0.52779    1.23055
0.5280000   34.14505    0.57545    1.38084
0.5380000   38.52615    0.60178    1.53462
0.5480000   44.13381    0.64236    1.73416
0.5580000   47.16959    0.67252    1.83087
0.5680000   50.20987    0.69726    1.92764
0.5780000   54.07838    0.72868    2.05601
0.5880000   57.11102    0.75459    2.15260
0.5980000   60.93184    0.79660    2.27912
0.6080000   63.17860    0.81260    2.34730
0.6180000   63.48342    0.80770    2.34472
0.6280000   65.51007    0.82874    2.40708
0.6380000   65.76720    0.84153    2.40565
0.6480000   68.24181    0.86975    2.48638
0.6580000   68.21107    0.87254    2.47681
0.6680000   67.91201    0.87327    2.45870
0.6780000   67.24295    0.88120    2.42829
0.68800000   66.58416    0.88492    2.39925
0.69800000   67.53875    0.89306    2.42908
0.70800000   66.23003    0.92079    2.37819
0.71800000   66.19595    0.98680    2.37370
0.72800000   68.39088    0.98632    2.44953
0.73800000   65.86639    0.95621    2.35674
0.74800000   65.36385    1.06335    2.33673
0.75800000   65.01484    0.98124    2.32250
0.76800000   63.03349    0.96605    2.25023
0.77800000   66.76953    0.98580    2.38218
0.78800000   66.47689    0.93045    2.37042
0.83533   81.48148
0.88064   81.76329
0.92904   79.10628
0.98242   76.97262
1.03144   75.12077
1.12888   71.69887
1.24307   63.76812
1.34919   59.78261
1.4429    57.40741
1.7488    49.47665
1.9971    39.41224
2.2012    38.36554
2.25031   36.51369
2.4458    33.33333
2.5029    32.52818
2.74741   30.95813
2.79644   30.95813
2.92677   27.77778
