 FILE_NAME
 REACTION
 BEAM_MASS TARGET_MASS THRESHOLD FINAL_STATE_MULTIPLICITY
 NUMBER_OF_DATA_POINTS
 POINT_NUMBER PLAB(GEV/C) PLAB_MIN PLAB_MAX SIG(MB) STA_ERR+ STA_ERR- SY_ER+(PCT) SY_ER-(PCT) REFERENCE FLAG
  FORMAT(I5,1X,4F11.5,2F8.4,1X,2F6.1,A)
 -------------------------------------------------------------------------------------------------------
 KPN_TOTAL.DAT
 K+ N --> X
 0.493680    0.939570      0.            0
  99
 45   2.35000    2.33825    2.36175    18.260     7.0E-02 7.0E-02    4.0  4.0  ABRAMS 70        PR D1, 1917
 46   2.39300    2.36907    2.41693    18.630     0.11000 0.11000    4.0  4.0  COOL 70          PR D1, 1887
 47   2.40000    2.38800    2.41200    18.090     8.0E-02 8.0E-02    4.0  4.0  ABRAMS 70        PR D1, 1917
 48   2.45000    2.43775    2.46225    18.250     6.0E-02 6.0E-02    4.0  4.0  ABRAMS 70        PR D1, 1917
 49   2.50000    2.48750    2.51250    18.110     8.0E-02 8.0E-02    4.0  4.0  ABRAMS 70        PR D1, 1917
 50   2.55000    2.55000    2.55000    17.100     0.80000 0.80000    1.7  1.7  COOK 61          PRL 7, 182
 51   2.55000    2.53725    2.56275    18.170     6.0E-02 6.0E-02    4.0  4.0  ABRAMS 70        PR D1, 1917
 52   2.60000    2.58700    2.61300    18.090     6.0E-02 6.0E-02    4.0  4.0  ABRAMS 70        PR D1, 1917
 53   2.65000    2.63675    2.66325    18.020     6.0E-02 6.0E-02    4.0  4.0  ABRAMS 70        PR D1, 1917
 54   2.70000    2.68650    2.71350    18.110     6.0E-02 6.0E-02    4.0  4.0  ABRAMS 70        PR D1, 1917
 55   2.75000    2.73625    2.76375    18.060     6.0E-02 6.0E-02    4.0  4.0  ABRAMS 70        PR D1, 1917
 56   2.80000    2.78600    2.81400    18.010     6.0E-02 6.0E-02    4.0  4.0  ABRAMS 70        PR D1, 1917
 57   2.83000    2.83000    2.83000    17.500     0.90000 0.90000    1.7  1.7  COOK 61          PRL 7, 182
 58   2.85000    2.83575    2.86425    17.950     6.0E-02 6.0E-02    4.0  4.0  ABRAMS 70        PR D1, 1917
 59   2.90000    2.88550    2.91450    17.850     5.0E-02 5.0E-02    4.0  4.0  ABRAMS 70        PR D1, 1917
 60   2.95000    2.93525    2.96475    17.810     6.0E-02 6.0E-02    4.0  4.0  ABRAMS 70        PR D1, 1917
 61   3.00000    2.98500    3.01500    17.810     6.0E-02 6.0E-02    4.0  4.0  ABRAMS 70        PR D1, 1917
 62   3.05000    3.03475    3.06525    17.830     6.0E-02 6.0E-02    4.0  4.0  ABRAMS 70        PR D1, 1917
 63   3.10000    3.08450    3.11550    17.850     6.0E-02 6.0E-02    4.0  4.0  ABRAMS 70        PR D1, 1917
 64   3.15000    3.13425    3.16575    17.610     6.0E-02 6.0E-02    4.0  4.0  ABRAMS 70        PR D1, 1917
 65   3.20000    3.18400    3.21600    17.610     5.0E-02 5.0E-02    4.0  4.0  ABRAMS 70        PR D1, 1917
 66   3.25000    3.23375    3.26625    17.660     5.0E-02 5.0E-02    4.0  4.0  ABRAMS 70        PR D1, 1917
